Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU,ABV_Norm,IBU_Norm
Sky High Rye,Arcadia Brewing Company,MI,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,60.0,55,0.48,
Halcyon Unfiltered Wheat,Tallgrass Brewing Company,KS,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,50.0,20,0.4,
OB-1 Organic Ale,Snake River Brewing Company,WY,West,English Brown Ale,Dark Ale,Dark,12,50.0,22,0.4,
Snake River Lager,Snake River Brewing Company,WY,West,Vienna Lager,Lager,Lager,12,50.0,18,0.4,
Narragansett Summer Ale,Narragansett Brewing Company,RI,Northeast,American Pale Wheat Ale,Pale Ale,Ale,16,42.0,24,0.336,
Snake River Pale Ale,Snake River Brewing Company,WY,West,American Pale Ale (APA),Pale Ale,Ale,12,52.0,32,0.416,
Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,CA,West,American Pale Ale (APA),Pale Ale,Ale,12,56.0,37,0.448,
Pyramid Hefeweizen (2011),Pyramid Breweries,WA,West,Hefeweizen,German Ale,Ale,12,52.0,18,0.416,
Wild Onion Summer Wit,Wild Onion Brewing Company,IL,Midwest,Witbier,Belgian,Ale,12,42.0,13,0.336,
SummerBright Ale,Breckenridge Brewery,CO,West,American Pale Wheat Ale,Pale Ale,Ale,12,45.0,15,0.36,
Crank Yanker IPA (2011),Eddyline Brewery & Restaurant,CO,West,American IPA,IPA,Strong Ale,16,78.0,74,0.624,
Johan the Barleywine,Sun King Brewing Company,IN,Midwest,English Barleywine,Strong Ale,Strong Ale,16,99.0,60,0.792,
Pako’s EyePA,Snake River Brewing Company,WY,West,American IPA,IPA,Strong Ale,12,68.0,60,0.544,
Rumspringa Golden Bock,Lancaster Brewing Company,PA,Northeast,Maibock / Helles Bock,German Lager,Lager,12,66.0,30,0.528,
One Hit Wonder,Oskar Blues Brewery,CO,West,American Double / Imperial IPA,IPA,Strong Ale,12,90.0,60,0.72,
Whitsun,Arcadia Brewing Company,MI,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,62.0,17,0.496,
Great Crescent Blonde Ale (2011),Great Crescent Brewery,IN,Midwest,American Blonde Ale,Pale Ale,Ale,16,53.0,22,0.424,
G'KNIGHT (12 oz.),Oskar Blues Brewery,CO,West,American Double / Imperial IPA,IPA,Strong Ale,12,87.0,85,0.696,
Mexican Logger,Ska Brewing Company,CO,West,American Pale Lager,Lager,Lager,12,42.0,18,0.336,
Black Adder IBA (Current),Buckbean Brewing Company,NV,West,American Black Ale,Dark Ale,Dark,16,73.0,85,0.584,
Common Sense Kentucky Common Ale,Upstate Brewing Company,NY,Northeast,American Brown Ale,Dark Ale,Dark,16,53.0,22,0.424,
Upstate I.P.W.,Upstate Brewing Company,NY,Northeast,American IPA,IPA,Strong Ale,12,65.0,70,0.52,
Heady Topper,The Alchemist,VT,Northeast,American Double / Imperial IPA,IPA,Strong Ale,16,80.0,120,0.64,
Redband Stout,Great River Brewery,IA,Midwest,American Stout,Stout / Porter,Dark,16,60.0,36,0.48,
Festie,Starr Hill Brewery,VA,South,Märzen / Oktoberfest,German Lager,Lager,12,48.0,12,0.384,
Northern Lights India Pale Ale,Starr Hill Brewery,VA,South,American IPA,IPA,Strong Ale,12,65.0,52,0.52,
Hop Ottin' IPA (2011),Anderson Valley Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,70.0,80,0.56,
Jack Stout,Wild Onion Brewing Company,IL,Midwest,Oatmeal Stout,Stout / Porter,Dark,12,60.0,23,0.48,
Blacktop Blonde,TailGate Beer,CA,West,American Blonde Ale,Pale Ale,Ale,12,50.0,19,0.4,
TailGate Hefeweizen,TailGate Beer,CA,West,Hefeweizen,German Ale,Ale,12,49.0,28,0.392,
#9,Magic Hat Brewing Company,VT,Northeast,Fruit / Vegetable Beer,Sour,Other,12,51.0,20,0.408,
Hop Knot IPA,Four Peaks Brewing Company,AZ,West,American IPA,IPA,Strong Ale,12,67.0,47,0.536,
2012 Black Ale,Stevens Point Brewery,WI,Midwest,American Brown Ale,Dark Ale,Dark,12,54.0,32,0.432,
Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,CO,West,American Amber / Red Ale,Dark Ale,Dark,12,52.0,25,0.416,
Bitter American (2011),21st Amendment Brewery,CA,West,American Pale Ale (APA),Pale Ale,Ale,12,44.0,42,0.352,
Copper Hook (2011),Redhook Brewery,WA,West,American Amber / Red Ale,Dark Ale,Dark,12,58.0,27,0.464,
WET,Surly Brewing Company,MN,Midwest,American IPA,IPA,Strong Ale,16,75.0,90,0.6,
Fireside Chat (2010),21st Amendment Brewery,CA,West,Winter Warmer,Dark Ale,Dark,12,79.0,45,0.632,
Gandhi-Bot Double IPA (12 oz.),New England Brewing Company,CT,Northeast,American Double / Imperial IPA,IPA,Strong Ale,12,88.0,85,0.704,
Vortex IPA,Fort George Brewery,OR,West,American IPA,IPA,Strong Ale,16,74.0,97,0.592,
Hop Shock IPA (2010),SanTan Brewing Company,AZ,West,American IPA,IPA,Strong Ale,12,70.0,85,0.56,
Narragansett Bock,Narragansett Brewing Company,RI,Northeast,Bock,German Lager,Lager,16,65.0,32,0.52,
Narragansett Fest Lager,Narragansett Brewing Company,RI,Northeast,Märzen / Oktoberfest,German Lager,Lager,16,55.0,15,0.44,
Mana Wheat,Maui Brewing Company,HI,West,American Pale Wheat Ale,Pale Ale,Ale,12,55.0,15,0.44,
Snake Handler Double IPA,Good People Brewing Company,AL,South,American Double / Imperial IPA,IPA,Strong Ale,12,93.0,103,0.744,
Coffee Oatmeal Stout,Good People Brewing Company,AL,South,Oatmeal Stout,Stout / Porter,Dark,12,60.0,54,0.48,
Good People IPA,Good People Brewing Company,AL,South,American IPA,IPA,Strong Ale,12,60.0,64,0.48,
Good People American Brown Ale,Good People Brewing Company,AL,South,American Brown Ale,Dark Ale,Dark,12,58.0,36,0.464,
SanTan HefeWeizen (2010),SanTan Brewing Company,AZ,West,Hefeweizen,German Ale,Ale,12,50.0,15,0.4,
Devil’s Ale (2010),SanTan Brewing Company,AZ,West,American Pale Ale (APA),Pale Ale,Ale,12,55.0,45,0.44,
Wee Mac Scottish-Style Ale,Sun King Brewing Company,IN,Midwest,Scottish Ale,Strong Ale,Strong Ale,16,54.0,23,0.432,
Lancaster German Style Kölsch,Lancaster Brewing Company,PA,Northeast,Kölsch,German Ale,Ale,12,48.0,28,0.384,
Lucky U IPA,Breckenridge Brewery,CO,West,American IPA,IPA,Strong Ale,12,62.0,68,0.496,
Harpoon Summer Beer (2010),Harpoon Brewery,,,Kölsch,German Ale,Ale,12,50.0,28,0.4,
483 Pale Ale (2010),Great River Brewery,IA,Midwest,American Pale Ale (APA),Pale Ale,Ale,16,53.0,48,0.424,
The Corruption,DC Brau Brewing Company,DC,South,American IPA,IPA,Strong Ale,12,65.0,80,0.52,
Pamola Xtra Pale Ale,Baxter Brewing Company,ME,Northeast,American Pale Ale (APA),Pale Ale,Ale,12,49.0,28,0.392,
Stowaway IPA,Baxter Brewing Company,ME,Northeast,American IPA,IPA,Strong Ale,12,69.0,69,0.552,
Kilt Lifter Scottish-Style Ale (2009),Four Peaks Brewing Company,AZ,West,Scottish Ale,Strong Ale,Strong Ale,12,60.0,21,0.48,
Back in Black,21st Amendment Brewery,CA,West,American Black Ale,Dark Ale,Dark,12,68.0,65,0.544,
Flaming Damsel Lager (2010),Milwaukee Brewing Company,WI,Midwest,Vienna Lager,Lager,Lager,16,48.0,18,0.384,
Louie’s Demise Immort-Ale (2010),Milwaukee Brewing Company,WI,Midwest,American Amber / Red Ale,Dark Ale,Dark,16,51.0,24,0.408,
Native Amber (2013),COOP Ale Works,OK,South,American Amber / Red Ale,Dark Ale,Dark,16,63.0,35,0.504,
Horny Toad Cerveza (2013),COOP Ale Works,OK,South,American Blonde Ale,Pale Ale,Ale,16,53.0,25,0.424,
Oktoberfest Lager,Sly Fox Brewing Company,PA,Northeast,Märzen / Oktoberfest,German Lager,Lager,12,58.0,25,0.464,
Black Star Double Hopped Golden Lager (12 oz.),Great Northern Brewing Company,MT,West,American Pale Lager,Lager,Lager,12,45.0,15,0.36,
Paddy Pale Ale,Wild Onion Brewing Company,IL,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,56.0,41,0.448,
Scape Goat Pale Ale (2010),Big Sky Brewing Company,MT,West,English Pale Ale,Pale Ale,Ale,12,50.0,40,0.4,
Avery Joe’s Premium American Pilsner,Avery Brewing Company,CO,West,German Pilsener,German Lager,Lager,12,47.0,42,0.376,
Silverback Pale Ale,Wynkoop Brewing Company,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,55.0,40,0.44,
Point Nude Beach Summer Wheat (2010),Stevens Point Brewery,WI,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,50.0,7,0.4,
Point Cascade Pale Ale,Stevens Point Brewery,WI,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,54.0,33,0.432,
Point Amber Classic,Stevens Point Brewery,WI,Midwest,American Amber / Red Lager,Lager,Lager,12,47.0,14,0.376,
Point Special Lager,Stevens Point Brewery,WI,Midwest,American Adjunct Lager,Lager,Lager,12,47.0,9,0.376,
Morning Wood Wheat (Current),Pug Ryan's Brewery,CO,West,American Pale Wheat Ale,Pale Ale,Ale,12,59.0,14,0.472,
O'Fallon Wheach,O'Fallon Brewery,,,Fruit / Vegetable Beer,Sour,Other,12,51.0,7,0.408,
Harpoon IPA (2010),Harpoon Brewery,,,American IPA,IPA,Strong Ale,12,59.0,42,0.472,
Epicenter Amber Ale (2010),SanTan Brewing Company,AZ,West,American Amber / Red Ale,Dark Ale,Dark,12,55.0,20,0.44,
Hurricane Amber Ale,Coastal Extreme Brewing Company,RI,Northeast,American Amber / Red Ale,Dark Ale,Dark,12,52.0,24,0.416,
Full Nelson Pale Ale (2010),Blue Mountain Brewery,VA,South,American Pale Ale (APA),Pale Ale,Ale,12,59.0,60,0.472,
Ranger IPA (Current),New Belgium Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,65.0,70,0.52,
White Rascal,Avery Brewing Company,CO,West,Witbier,Belgian,Ale,12,56.0,10,0.448,
Avery India Pale Ale,Avery Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,63.0,69,0.504,
Ellie’s Brown Ale,Avery Brewing Company,CO,West,American Brown Ale,Dark Ale,Dark,12,55.0,17,0.44,
Köld Lager (2010),Tallgrass Brewing Company,KS,Midwest,German Pilsener,German Lager,Lager,16,50.0,16,0.4,
Oasis (2010),Tallgrass Brewing Company,KS,Midwest,American Double / Imperial IPA,IPA,Strong Ale,16,72.0,93,0.576,
Tallgrass Ale,Tallgrass Brewing Company,KS,Midwest,American Brown Ale,Dark Ale,Dark,16,44.0,22,0.352,
Buffalo Sweat (2010),Tallgrass Brewing Company,KS,Midwest,Milk / Sweet Stout,Stout / Porter,Dark,16,50.0,20,0.4,
Tallgrass IPA,Tallgrass Brewing Company,KS,Midwest,American IPA,IPA,Strong Ale,16,63.0,60,0.504,
Colorado Kölsch,Steamworks Brewing Company,CO,West,Kölsch,German Ale,Ale,12,49.0,17,0.392,
Steam Engine Lager,Steamworks Brewing Company,CO,West,American Amber / Red Lager,Lager,Lager,12,57.0,25,0.456,
Third Eye Pale Ale,Steamworks Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,65.0,65,0.52,
Eddy Out Pale Ale,Kettle House Brewing Company,MT,West,American Pale Ale (APA),Pale Ale,Ale,16,55.0,50,0.44,
Double Haul IPA,Kettle House Brewing Company,MT,West,American IPA,IPA,Strong Ale,16,65.0,65,0.52,
Cold Smoke Scotch Ale,Kettle House Brewing Company,MT,West,Scotch Ale / Wee Heavy,Strong Ale,Strong Ale,16,65.0,11,0.52,
Avalanche Ale,Breckenridge Brewery,CO,West,American Amber / Red Ale,Dark Ale,Dark,12,54.0,19,0.432,
Haywire Hefeweizen (2010),Pyramid Breweries,WA,West,Hefeweizen,German Ale,Ale,16,52.0,18,0.416,
Hazed & Infused (2010),Boulder Beer Company,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,49.0,35,0.392,
Boont Amber Ale (2011),Anderson Valley Brewing Company,CA,West,American Amber / Red Ale,Dark Ale,Dark,12,58.0,15,0.464,
Summer Solstice (2011),Anderson Valley Brewing Company,CA,West,Cream Ale,Pale Ale,Ale,12,56.0,4,0.448,
Poleeko Gold Pale Ale (2009),Anderson Valley Brewing Company,CA,West,American Pale Ale (APA),Pale Ale,Ale,12,55.0,28,0.44,
Fat Tire Amber Ale (2008),New Belgium Brewing Company,CO,West,American Amber / Red Ale,Dark Ale,Dark,12,52.0,18,0.416,
Modus Hoperandi,Ska Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,68.0,65,0.544,
Sunlight Cream Ale,Sun King Brewing Company,IN,Midwest,Cream Ale,Pale Ale,Ale,16,53.0,20,0.424,
Osiris Pale Ale (2010),Sun King Brewing Company,IN,Midwest,American Pale Ale (APA),Pale Ale,Ale,16,56.0,50,0.448,
Schlafly Summer Lager,Schlafly Brewing Company,,,Munich Helles Lager,German Lager,Lager,12,45.0,17,0.36,
British Pale Ale,7 Seas Brewing Company,WA,West,English Pale Ale,Pale Ale,Ale,16,54.0,30,0.432,
Ballz Deep Double IPA,7 Seas Brewing Company,WA,West,American Double / Imperial IPA,IPA,Strong Ale,16,84.0,82,0.672,
Buried Hatchet Stout,Southern Star Brewing Company,TX,South,Foreign / Export Stout,Stout / Porter,Dark,12,83.0,50,0.664,
Pine Belt Pale Ale,Southern Star Brewing Company,TX,South,American Pale Ale (APA),Pale Ale,Ale,16,65.0,45,0.52,
Bombshell Blonde,Southern Star Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,50.0,20,0.4,
Gandhi-Bot Double IPA (16 oz.) (2010),New England Brewing Company,CT,Northeast,American Double / Imperial IPA,IPA,Strong Ale,16,88.0,85,0.704,
Caldera Pale Ale (2011),Caldera Brewing Company,OR,West,American Pale Ale (APA),Pale Ale,Ale,12,56.0,55,0.448,
Ashland Amber Ale,Caldera Brewing Company,OR,West,American Amber / Red Ale,Dark Ale,Dark,12,54.0,24,0.432,
Caldera IPA,Caldera Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,61.0,94,0.488,
Montana Trout Slayer Ale (2009),Big Sky Brewing Company,MT,West,American Pale Wheat Ale,Pale Ale,Ale,12,50.0,35,0.4,
Moose Drool Brown Ale (2009),Big Sky Brewing Company,MT,West,American Brown Ale,Dark Ale,Dark,12,51.0,26,0.408,
Bikini Blonde Lager,Maui Brewing Company,HI,West,Munich Helles Lager,German Lager,Lager,12,45.0,18,0.36,
Big Swell IPA,Maui Brewing Company,HI,West,American IPA,IPA,Strong Ale,12,62.0,65,0.496,
Tule Duck Red Ale (Current),Buckbean Brewing Company,NV,West,American Amber / Red Ale,Dark Ale,Dark,16,62.0,42,0.496,
Original Orange Blossom Ale (Current),Buckbean Brewing Company,NV,West,Herbed / Spiced Beer,Other,Other,16,58.0,35,0.464,
Black Noddy Lager (Current),Buckbean Brewing Company,NV,West,Schwarzbier,German Lager,Lager,16,52.0,40,0.416,
113 IPA,Sly Fox Brewing Company,PA,Northeast,American IPA,IPA,Strong Ale,12,70.0,113,0.56,
Dunkel Lager,Sly Fox Brewing Company,PA,Northeast,Munich Dunkel Lager,German Lager,Lager,12,53.0,21,0.424,
Royal Weisse Ale,Sly Fox Brewing Company,PA,Northeast,Hefeweizen,German Ale,Ale,12,56.0,11,0.448,
Pikeland Pils,Sly Fox Brewing Company,PA,Northeast,German Pilsener,German Lager,Lager,12,49.0,44,0.392,
Phoenix Pale Ale,Sly Fox Brewing Company,PA,Northeast,American Pale Ale (APA),Pale Ale,Ale,12,51.0,40,0.408,
Bitter Brewer,Surly Brewing Company,MN,Midwest,English Bitter,Sour,Other,16,40.0,37,0.32,
SurlyFest,Surly Brewing Company,MN,Midwest,Rye Beer,Other,Other,16,55.0,34,0.44,
Coffee Bender,Surly Brewing Company,MN,Midwest,American Brown Ale,Dark Ale,Dark,16,51.0,45,0.408,
Bender,Surly Brewing Company,MN,Midwest,American Brown Ale,Dark Ale,Dark,16,51.0,45,0.408,
Abrasive Ale,Surly Brewing Company,MN,Midwest,American Double / Imperial IPA,IPA,Strong Ale,16,97.0,120,0.776,
Hell,Surly Brewing Company,MN,Midwest,Keller Bier / Zwickel Bier,German Lager,Lager,16,51.0,20,0.408,
CynicAle,Surly Brewing Company,MN,Midwest,Saison / Farmhouse Ale,Ale - Other,Ale,16,67.0,33,0.536,
Furious,Surly Brewing Company,MN,Midwest,American IPA,IPA,Strong Ale,16,62.0,99,0.496,
Monk's Blood,21st Amendment Brewery,CA,West,Belgian Dark Ale,Belgian,Ale,12,83.0,35,0.664,
Brew Free! or Die IPA,21st Amendment Brewery,CA,West,American IPA,IPA,Strong Ale,12,70.0,65,0.56,
Hell or High Watermelon Wheat,21st Amendment Brewery,CA,West,Fruit / Vegetable Beer,Sour,Other,12,49.0,17,0.392,
Ten Fidy Imperial Stout,Oskar Blues Brewery,CO,West,Russian Imperial Stout,Stout / Porter,Dark,12,99.0,98,0.792,
GUBNA Imperial IPA,Oskar Blues Brewery,CO,West,American Double / Imperial IPA,IPA,Strong Ale,12,99.0,100,0.792,
Old Chub,Oskar Blues Brewery,CO,West,Scottish Ale,Strong Ale,Strong Ale,12,80.0,35,0.64,
Gordon Ale (2009),Oskar Blues Brewery,CO,West,American Double / Imperial IPA,IPA,Strong Ale,12,87.0,85,0.696,
Dale's Pale Ale,Oskar Blues Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,65.0,65,0.52,
